_id,#,穴位,痛症,炎症,攣痺,眼症,熱症,情志,氣管病,其他,經絡
GxZSr7anL2AyCyhiG,9,玉枕,1,1,0,1,0,0,0,清熱明目:  後枕神經痛、鼻炎、視神經炎、口瘡、青光眼、近視眼、,足太陽膀胱經
Hy7GidoPe3MT79tyo,1,睛明,1,1,1,1,0,0,0,清熱怯風明目:  閃腰、視神經炎、視神經萎縮、青光眼、近視眼、夜盲、,足太陽膀胱經
JGLfcpqmB8nt6hWPe,3,眉冲,1,0,0,0,0,1,1,清熱怯風、鎮攣寧神:  頭痛、癲癇、眩暈、鼻塞、,足太陽膀胱經
Kp7CBN8SYWdcR4tWh,32,次髎,1,1,0,0,0,0,1,補下焦、強腰利濕:  腰痛、子宮內膜炎、陽痿、月經不調、子宮脫垂 、,足太陽膀胱經
MZiSiPcThHYcuuudu,27,小腸俞,0,1,0,0,1,0,1,清熱通二便:  腸炎、骶髂關節炎、盆腔炎、子宮內膜炎、痢疾、遺精、帶下、痔瘡、遺尿、便秘、,足太陽膀胱經
Mc3tFaip9EpMbQKa8,38,浮郄,0,1,1,0,1,0,0,舒筋止痛: 急性腸胃炎、膀胱炎、臀股麻木、膕筋攣急、腓腸肌痙攣、便秘、,足太陽膀胱經
N66CNv9aShhdBuWWu,17,膈俞,1,1,0,0,1,1,0,理氣活血: 肝炎、胃炎、胃潰瘍、腸炎、腸出血、潮熱、心動過速、神經性嘔吐、嘔逆、風疹、呃逆,足太陽膀胱經
PL3TMzuscyxemnzT5,30,白環俞,1,1,1,0,0,0,1,調經帶固精:  坐骨神經痛、腰髖冷痛、子宮內膜炎、小兒痲痺後遺症、帶下、脫肛、,足太陽膀胱經
Q428AW3kcga5WXKRe,60,*崑崙,1,1,1,0,0,1,1,益腎止痛;  神經性頭痛、腰痛、坐骨神經痛、踝關節扭傷、膝關節炎、膝關節軟組織症、下肢癱瘓、癲癇、眩暈、難產,足太陽膀胱經
Qgi9zTpuME8aXHTaj,65,*束骨,1,1,0,1,0,1,0,舒筋清頭明目:  神經性頭痛、腰腿痛、下肢後側痛、眼結膜炎、高血壓、癲癇、眩暈、耳聾,足太陽膀胱經
SouDq7XPpZD28npzz,13,肺俞,1,1,0,0,1,0,1,止咳平喘:  胸痛、支氣管炎、頸淋巴結核、肺炎、肺氣腫、胸膜炎、心內膜炎、腎炎、感冒、低熱、膚痒、風疹、支氣管哮喘、百日咳、,足太陽膀胱經
T4rNoB2tgSPTy8HdC,23,腎俞,0,1,0,1,0,0,1,壯腰利水: 腎炎、泌尿系感染、糖尿病、腎下垂、陽痿、早泄、遺精、精缺、痔瘡、月經不調、 耳聾耳鳴、氣喘、,足太陽膀胱經
TAnxahnJANA3P4s5k,28,膀胱俞,1,1,0,1,1,0,1,清熱利濕: 坐骨神經痛、腰脊強痛、腰神經痛、腸炎、膀胱炎、子宮內膜炎、痢疾、糖尿病、痔瘡、遺尿、尿頻、便秘、腳氣、,足太陽膀胱經
TRWTYiwExnMGbCCEG,63,*金門,1,1,1,0,0,1,1,安神通經:  頭痛、腰痛、踝關節扭傷、足跟痛、膝關節炎、下肢痿痺、癲癇、小兒驚風、小腸氣、,足太陽膀胱經
WwsurGkHMWQRmbNWq,49,*意舍,0,1,0,1,0,0,0,和胃降逆化濕:  胸膜炎、腸炎、糖尿病、胃擴張、腸鳴、消化不良、飲食不下、嘔吐、,足太陽膀胱經
XakpqbatHtZrMEjeF,51,*肓門,1,1,1,0,0,0,0,和胃清熱消腫:  腰肌勞損、乳線炎、胃炎、胃痙攣、便秘、腹痞塊,足太陽膀胱經
Xswj4uF8HQQNQudaW,47,*魂門,1,1,1,0,0,1,0,和胃降逆疏肝:  肋間神經痛、胸脇痛、胃炎、肝炎、膽囊炎、胃痙攣、神經症、癔病、黃疸、嘔吐,足太陽膀胱經
YKKEGwwrsbpbx2JG5,42,*魄戶,1,1,0,1,0,0,0,舒筋降逆: 頸項痛、肋間神經痛、肩背上臂痛、支氣管炎、咳血、感冒、肺勞、哮喘、,足太陽膀胱經
ZBckGobN5W2ifHwm5,48,*陽綱,1,1,1,1,0,0,0,疏肝利膽和中:  脇痛、胃炎、肝炎、膽囊炎、心內膜炎、胃痙攣、糖尿病、腸鳴、消化不良、黃疸、,足太陽膀胱經
ZC74KhBefMc36ikx5,34,下髎,1,1,1,0,0,0,1,補下焦、強腰利濕: 坐骨神經痛、腰痛、子宮內膜炎、盆腔炎、卵巢炎、膝關節炎、下肢癱瘓、月經不調,足太陽膀胱經
ZGk2XLTPdMvMA5KWB,35,會陽,1,1,0,1,0,0,1,清熱利濕固帶:  經痛、腸炎、前列線炎、腸出血、便血、陽痿、痔瘡、外陰濕疹、陰部瘙痒,足太陽膀胱經
ZXvKFm7eWH5mveAMA,37,殷門,1,0,1,0,0,0,0,舒筋強腰膝: 坐骨神經痛、下肢痲痺、小兒痲痺後遺症、,足太陽膀胱經
aySjkjYqrrR6tRZeH,15,心俞,1,0,0,0,0,1,0,理氣寧神:  冠心病、心絞痛、肋間神經痛、驚悸、健忘、癲癇、精神分裂症、風濕性心臟病、神經衰弱、失眠、心動過速、夢遺、,足太陽膀胱經
bEAPJgmgD67oF4CsP,20,脾俞,0,1,1,1,0,0,1,健中焦利濕:  胃炎、胃潰瘍、肝炎、腸炎、痢疾、胃痙攣、胃出血、貧血、月經過多、消化不良、 神經性嘔吐、吐瀉、水腫、消化不良、,足太陽膀胱經
bZxTJEywS5CdR4HHy,18,肝俞,1,1,1,1,0,1,0,疏肝利膽明目:  結膜炎、慢性胃炎、慢性肝炎、膽囊炎、目赤、胃痙攣、高血壓、黃疸、癲癇、眩暈、近視眼、夜盲、,足太陽膀胱經
btPDwqXhhayik9tzT,40,*委中,1,1,1,1,1,0,1,舒筋泄熱解毒: 腹痛、腰扭傷、坐骨神經痛、急性腸胃炎、半身不遂、腦血管病後遺症、遺尿、尿瀦溜、乳疽、吐瀉、丹毒、濕疹、皮膚瘙痒、,足太陽膀胱經
c3QMrJF3mtEGAdnR4,11,大杼、(腎),1,1,1,0,1,1,1,清熱強筋:  頭痛、頸項強直、咽炎、支氣管炎、肺炎、膝關節骨質增生、腰背肌痙攣、咳嗽、感冒、發熱、癲癇、支氣管哮喘、,足太陽膀胱經
cwuQQke6agCtbhmnB,31,上髎,0,1,0,0,1,0,1,調下焦通經: 子宮內膜炎、盆腔炎、卵巢炎、月經不調、子宮脫垂(陰挺) 、赤白帶下,足太陽膀胱經
dafTdz9buoA5DpqRd,22,三焦俞,1,1,1,0,0,0,1,調三焦、利水強腰: 腰背強痛、胃炎、腸炎、腎炎、胃痙攣、遺精、消化不良、水腫,足太陽膀胱經
e7CLn4AhuPbKjJB2w,55,*合陽,1,1,0,1,0,0,1,壯腰膝、調經止帶: 腰腿痛、睪丸炎、前列線炎、子宮內膜炎、功能性子宮出血、月經不調、,足太陽膀胱經
ersWKdGg6hMKe3ipE,58,*飛陽,1,1,1,0,0,1,0,怯風化濕: 腰骶痛、外踝腫痛、膀胱炎、風濕性關節炎、下肢癱瘓、癲癇、眩暈、頭重,足太陽膀胱經
gXWnuJ48WaLjs5DHj,36,承扶,1,1,1,0,1,0,1,通便消痔:  坐骨神經痛、腰骶神經根炎、下肢癱瘓、小兒痲痺後遺症、尿瀦溜、便秘、痔瘡、,足太陽膀胱經
geYfqPsbp4pXFdCAS,50,*胃倉,1,1,1,0,1,0,0,和胃消食導滯;  背強痛、胃朊痛、胃炎、胃潰瘍、腸炎、胃痙攣、習慣性便秘、小兒食積,足太陽膀胱經
ghuYPRNYpcDTnpY9D,67,*至陰,1,0,0,1,0,0,1,活血清頭明目: 神經性頭痛、腦溢血、腦血管病後遺症、遺精、難產、胎位不正、胎盤滯留、,足太陽膀胱經
jKX8n6ym8EjJdhXHz,59,*跗陽,1,0,1,0,0,0,0,疏風平肝解痙:  頭痛、三义神經痛、急性腰扭傷、面神經痲痺、下肢癱瘓、腓腸肌痙攣、,足太陽膀胱經
jWe38FXoBTsnqMFT7,61,*僕參,1,1,1,1,0,1,0,舒筋壯腰膝: 足跟痛、尿道炎、膝關節炎、下肢痿痺、鼻出血、癲癇、,足太陽膀胱經
jcf7gQFQQsN6yZXh8,43,*膏肓,0,1,0,1,0,1,1,調肺補虛: 支氣管炎、胸膜炎、乳線炎、肺結核、慢性胃炎、吐血、胃出血、健忘、神經衰弱、陽痿、遺精、哮喘、盜汗、虛勞,足太陽膀胱經
kCThPbXuNkdJjzTQd,45,*噫譆,1,1,1,0,0,0,0,宣肺止痛;  肋間神經痛、腋神經痛、心包炎、腰背肌痙攣、感冒、哮喘、呃逆、虐疾、,足太陽膀胱經
qRvDjjQu5hnmdE2wj,56,*承筋,0,0,0,0,1,0,0,舒筋壯腰膝: 急性腰扭傷、痔瘡、腰痛轉筋、腓腸肌痙攣、脫肛、便秘、腸鳴、,足太陽膀胱經
smEz9JTM64xebG4zZ,14,厥陰俞,1,1,0,0,0,1,0,活血止痛:  齒神經痛、心絞痛、肋間神經痛、胃炎、心外膜炎、心悸、胸悶、風濕性心臟病、神經衰弱、,足太陽膀胱經
tNkSJ8tF4viHf4jk3,64,*京骨,1,1,0,1,0,1,0,舒筋熄風止痙: 頭痛、腰腿痛、腦膜炎、心肌炎、腦溢血、癲癇、小兒驚風、,足太陽膀胱經
w3WhPPfThFqipk5z7,10,天柱,1,1,0,0,1,1,0,明目強筋:  頭痛、頸椎病、腰扭傷、慢性鼻炎、咽喉炎、感冒、神經衰弱、癔病、失眠、,足太陽膀胱經
w7HFgYg4XLq9uCgMe,12,風門,1,1,0,0,1,0,1,宣肺解表: 胸背痛、支氣管炎、肺炎、胸膜炎、肩背軟組織症、感冒、哮喘、百日咳、遺尿、蕁麻疹、破傷風、,足太陽膀胱經
wv3WPa2kRBXo89qKi,16,督俞,1,1,0,0,0,1,0,強心止痛:  冠心病、心絞痛、胃痛、乳線炎、胃炎、心動過速、呃逆、,足太陽膀胱經
xbu5KPrPSPYcpxQLS,53,*胞肓,0,0,0,0,1,0,0,補腎壯腰、利二便: 坐骨神經痛、腸炎、腰背部軟組織症、睪丸炎、尿道炎、膀胱炎、尿豬溜、便秘、 腸鳴、,足太陽膀胱經
ziwxvebed4cGPQhvd,26,關元俞,1,1,0,0,1,0,1,調下焦補元氣:  痛經、腰腿痛、慢性腸炎、膀胱炎、慢性盆腔炎、痢疾、腰部軟組織受傷、陽痿、遺尿、尿頻、便秘、,足太陽膀胱經
zqWooYZC57rhQrBkD,29,中膂俞,1,1,0,1,0,0,1,清下焦濕熱、補腎壯腰:  坐骨神經痛、腰骶痛、腸炎、腹膜炎、痢疾、糖尿病、小腸氣、腳氣、,足太陽膀胱經
