_id,#,穴位,痛症,炎症,攣痺,情志,男女科,排泄,其他,經絡
MMemJRbd2GKmv5tpM,7,復溜,1,1,1,0,0,0,利水補腎: 腰肌勞損、脊椎炎、腹膜炎、睪丸炎、腎炎、泌尿系感染、足痿、小兒痲痺後遺症、功能性子宮出血、痔瘡、水腫、汗症、,足少陰腎經
RcfTXHdB9YhSxCxbo,6,照海,1,1,0,1,1,0,清熱調經止痛:  痛經、慢性咽喉炎、扁桃體炎、神經衰弱、癲癇、失眠、月經不調、,足少陰腎經
RrfgoNhsnSYd8WhpZ,17,商曲,0,1,1,0,0,1,消腫止痛: 胃炎、痢疾、胃痙攣、胃下垂、便秘、,足少陰腎經
SGwsNBukRY7CFGbxn,11,橫骨,0,0,0,0,0,1,調理下焦助陽: 陰部痛、角膜炎、尿道炎、附件炎、盆腔炎、尿瀦溜、遺尿、陽痿、遺精、月經不調、閉經、,足少陰腎經
WiDKGa3L2SFdJFFCq,19,陰都,1,1,0,0,0,0,調理中焦: 胃痛、結膜炎、角膜白斑、支氣管炎、胸膜炎、肺氣腫、痢疾、哮喘、腸鳴、,足少陰腎經
a7ghAkixpy4rkZmdi,16,肓俞,0,1,1,0,0,0,潤腸通便止痛:  角膜炎、腸炎、尿道炎、痢疾、腸痲痺、胃痙攣、習慣性便秘、,足少陰腎經
dEKXBx3wuMDsfKe49,21,幽門,1,1,0,0,1,0,調理中焦、降逆止嘔:  乳線炎、慢性胃炎、胃潰瘍、神經性嘔吐、孕吐、缺乳、消化不良、,足少陰腎經
or9pAcng7cuMmKs3q,5,水泉,0,0,0,0,1,1,利水通淋:  月經不調、痛經、子宮脫垂、閉經、經少、不孕、小便不利、目昏花、,足少陰腎經
rAQc5BzvLRriymx87,25,神藏,1,1,0,0,0,0,降逆平喘: 肋間神經痛、胸痛、支氣管炎、胸膜炎、感冒、支氣管哮喘、消化不良、呃逆,足少陰腎經
rvmiLv3ZSmMy4yjge,22,步廊,1,1,0,0,0,0,止咳平喘: 肋間神經痛、支氣管炎、鼻炎、胃炎、嗅覺減退、消化不良、,足少陰腎經
uAGh4z6kDnNdDofcd,9,築賓,1,1,1,1,1,0,調理下焦安神: 足脛痛、泌尿系感染、腓腸肌痙攣、癲癇、神經性嘔吐、小腸氣、,足少陰腎經
v8cKco6RThAw6KSAC,26,彧中,1,1,0,0,0,0,止咳化痰: 肋間神經痛、支氣管炎、胸膜炎、痰壅、食慾不振、呃逆,足少陰腎經
wLzSz8eQDTcCfYbek,20,腹通谷,0,0,0,0,0,0,健中焦安神: 肋間神經痛、慢性咽喉炎、急慢性胃炎、眼結膜充血、神經性嘔吐、胃擴張、哮喘、消化不良、,足少陰腎經
yugo25epZv6wwEFgT,23,神封,1,1,0,0,1,0,降逆止嘔理肺: 乳痛、支氣管炎、乳線炎、肺炎、胸膜炎、哮喘、嘔吐、心動過速,足少陰腎經
z2PTdTaCTHc7CinZZ,3,太溪,1,1,1,0,1,1,壯陽強腰益腎: 頭痛、齒痛、足跟痛、支氣管炎、慢性喉炎、口腔炎、肺氣腫、腎炎、膀胱炎、下肢癱瘓、陽痿、月經不調、耳鳴、遺尿、哮喘、,足少陰腎經
zFEyj296xXHje8zfJ,24,靈墟,1,1,0,0,0,0,疏肝降肺氣:  乳痛、肋間神經痛、鼻炎、支氣管炎、乳線炎、胸膜炎、哮喘、嗅覺減退、食慾不振、,足少陰腎經
